14. 3. 10 오후 8:12
프로젝트 통계

      	   부분	   단어	문자 (공백 없이)	문자 (공백 포함)	
총:    	12553	90895	    350878	    367188	
남은:   	 5208	61534	    190704	    193764	
고유:   	 9580	85814	    318913	    332275	
남은 고유:	 5129	61208	    189514	    192514	


개별 파일 통계:

파일 이름           	총 부분	나머지 부분	고유 부분	남은 고유 부분	총 단어	남은 단어	고유 단어	나머지 고유 단어	총 문자 (공백 없이)	나머지 문자 (공백 없이)	고유 문자 (공백 없이)	나머지 고유 문자 (공백 없이)	총 문자 (공백 포함)	나머지 문자 (공백 포함)	고유 문자 (공백 포함)	나머지 고유 문자 (공백 포함)	
ebook/01.0.md   	  25	     0	   25	       0	 239	    0	  239	        0	         745	             0	          745	                0	         757	             0	          757	                0	
ebook/01.1.md   	 128	     1	  123	       1	1202	   25	 1157	       25	        4587	            54	         4432	               54	        4682	            54	         4524	               54	
ebook/01.2.md   	 154	     1	  127	       1	 919	   19	  896	       19	        3450	            63	         3272	               63	        3549	            63	         3365	               63	
ebook/01.3.md   	 118	    12	  116	      12	1369	  133	 1366	      133	        4452	           432	         4426	              432	        4639	           506	         4611	              506	
ebook/01.4.md   	 397	    51	  341	      51	2454	  606	 2363	      606	       11263	          2096	        10697	             2096	       11655	          2132	        11060	             2132	
ebook/01.5.md   	  17	     0	   15	       0	 159	    0	  156	        0	         561	             0	          535	                0	         569	             0	          541	                0	
ebook/02.0.md   	  20	     0	   17	       0	 141	    0	  137	        0	         503	             0	          473	                0	         623	             0	          590	                0	
ebook/02.1.md   	  52	     1	   47	       1	 574	   18	  567	       18	        1889	            70	         1840	               70	        1930	            70	         1876	               70	
ebook/02.2.md   	 442	   201	  412	     201	3692	 2300	 3652	     2300	       11373	          6424	        11185	             6424	       12057	          6651	        11857	             6651	
ebook/02.3.md   	 514	   180	  397	     178	3447	 2073	 3314	     2064	       11365	          5975	        10618	             5952	       12039	          6081	        11213	             6058	
